"Country,Total_Regions,Total_GPU_Enabled_Regions,H100_Enabled_Regions,A100_Enabled_Regions,V100_Enabled_Regions"
"Argentina,1,1,0,0,1"
"Australia,9,3,0,1,3"
"Bahrain,1,0,0,0,0"
"Belgium,1,0,0,0,0"
"Brazil,5,1,0,0,1"
"Canada,6,2,0,1,2"
"Chile,2,1,0,0,1"
"China,36,27,0,9,19"
"Finland,1,0,0,0,0"
"France,4,1,0,1,1"
"Germany,5,2,0,1,2"
"Hong Kong,6,3,0,1,3"
"India,9,3,0,1,2"
"Indonesia,5,2,0,0,2"
"Ireland,3,2,0,2,2"
"Israel,1,1,0,1,0"
"Italy,5,1,0,1,0"
"Japan,9,4,0,3,3"
"Korea,5,4,0,1,3"
"Malaysia,1,1,0,0,1"
"Mexico,2,2,0,0,2"
"Netherlands,4,2,1,2,2"
"Norway,1,0,0,0,0"
"Peru,1,1,0,0,1"
"Philippines,1,0,0,0,0"
"Poland,2,0,0,0,0"
"Qatar,2,0,0,0,0"
"Saudi Arabia,2,1,0,0,1"
"Singapore,6,5,0,2,4"
"South Africa,3,1,0,0,1"
"Spain,2,0,0,0,0"
"Sweden,2,1,0,1,0"
"Switzerland,3,1,0,0,1"
"Taiwan,1,1,0,0,1"
"Thailand,3,2,0,0,2"
"Turkey,1,1,0,0,1"
"UAE,3,0,0,0,0"
"UK,6,2,0,2,2"
"US,27,22,8,18,17"
"EU27 total,34,11,1,8,9"
"Global Total,187,101,9,48,81"
